UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection,WindSpeed,TimeSunRise,TimeSunSet
1577836800,01/01/2020 00:00,18:13:00,1.78,14.95,808.37,46.23,348,1.101,06:13:00,18:13:00
1577840400,01/01/2020 01:00,18:13:00,2.13,14.09,808.367,48.65,10.5,1.481,06:13:00,18:13:00
1577844000,01/01/2020 02:00,18:13:00,1.82,13.5,808.299,52.12,355.5,2.21,06:13:00,18:13:00
1577847600,01/01/2020 03:00,18:13:00,1.29,13.06,808.172,55.85,11.2,1.104,06:13:00,18:13:00
1577851200,01/01/2020 04:00,18:13:00,1.92,12.23,808.163,59.74,74.5,0.845,06:13:00,18:13:00
1577854800,01/01/2020 05:00,18:13:00,1.95,11.68,808.204,61.73,130.5,1.359,06:13:00,18:13:00
1577858400,01/01/2020 06:00,18:13:00,1.39,10.42,808.35,66.73,126.4,1.855,06:13:00,18:13:00
1577862000,01/01/2020 07:00,18:13:00,2.16,10.1,808.625,68.55,88,1.833,06:13:00,18:13:00
1577865600,01/01/2020 08:00,18:13:00,30.13,9.8,809.116,69.55,88.7,1.472,06:13:00,18:13:00
1577869200,01/01/2020 09:00,18:13:00,220.9,11.97,809.769,61.97,130.1,1.679,06:13:00,18:13:00
1577872800,01/01/2020 10:00,18:13:00,450.03,14.18,810.49,54.4,162.2,1.956,06:13:00,18:13:00
1577876400,01/01/2020 11:00,18:13:00,630.21,16.1,810.764,49.02,135.8,2.633,06:13:00,18:13:00
1577880000,01/01/2020 12:00,18:13:00,764.56,19.21,810.113,39.47,187.5,3.31,06:13:00,18:13:00
1577883600,01/01/2020 13:00,18:13:00,828.07,21.41,809.142,29.5,210.9,4.045,06:13:00,18:13:00
1577887200,01/01/2020 14:00,18:13:00,808.33,22.81,808.102,24.5,224.6,4.161,06:13:00,18:13:00
1577890800,01/01/2020 15:00,18:13:00,721.23,23.76,807.13,24.23,221.2,3.62,06:13:00,18:13:00
1577894400,01/01/2020 16:00,18:13:00,565.12,24.2,806.61,24.46,228.4,3.815,06:13:00,18:13:00
1577898000,01/01/2020 17:00,18:13:00,351.41,24.08,806.516,24.77,229.3,3.836,06:13:00,18:13:00
1577901600,01/01/2020 18:00,18:13:00,127.13,23.15,806.803,25.99,230.5,3.811,06:13:00,18:13:00
1577905200,01/01/2020 19:00,18:13:00,2.74,21.18,807.226,30.96,223.5,2.479,06:13:00,18:13:00
1577908800,01/01/2020 20:00,18:13:00,2.1,19.87,807.855,34.3,297.8,0.903,06:13:00,18:13:00
1577912400,01/01/2020 21:00,18:13:00,2.2,19.32,808.527,35.56,327.6,1.394,06:13:00,18:13:00
1577916000,01/01/2020 22:00,18:13:00,1.75,18.31,808.91,38.18,358.9,1.084,06:13:00,18:13:00
1577919600,01/01/2020 23:00,18:13:00,1.77,16.61,809.037,42.4,52,1.857,06:13:00,18:13:00
1577923200,01/02/2020 00:00,18:13:00,1.66,15.56,809.008,44.99,111.8,1.332,06:13:00,18:13:00
1577926800,01/02/2020 01:00,18:13:00,2.08,14.94,808.812,45.91,82.1,0.807,06:13:00,18:13:00
1577930400,01/02/2020 02:00,18:13:00,1.89,14.02,808.729,46.84,98.8,0.759,06:13:00,18:13:00
1577934000,01/02/2020 03:00,18:13:00,2.02,11.92,808.512,52.65,34.4,1.657,06:13:00,18:13:00
1577937600,01/02/2020 04:00,18:13:00,1.44,11.82,808.436,53.78,31,1.258,06:13:00,18:13:00
1577941200,01/02/2020 05:00,18:13:00,1.48,11.57,808.593,54.74,81.4,1.172,06:13:00,18:13:00
1577944800,01/02/2020 06:00,18:13:00,2.01,10.91,808.732,56.73,352.7,1.187,06:13:00,18:13:00
1577948400,01/02/2020 07:00,18:13:00,1.69,9.98,809.187,60.3,358.7,1.538,06:13:00,18:13:00
1577952000,01/02/2020 08:00,18:13:00,31.07,9.87,809.687,60.62,31.8,1.424,06:13:00,18:13:00
1577955600,01/02/2020 09:00,18:13:00,225.32,12.01,810.403,54.01,2.4,1.215,06:13:00,18:13:00
1577959200,01/02/2020 10:00,18:13:00,453.02,15.78,811.239,43.61,185.6,1.343,06:13:00,18:13:00
1577962800,01/02/2020 11:00,18:13:00,644.17,18.22,811.536,38.56,184.5,1.696,06:13:00,18:13:00
1577966400,01/02/2020 12:00,18:13:00,761.32,20.74,811.086,33.53,185.5,2.195,06:13:00,18:13:00
1577970000,01/02/2020 13:00,18:13:00,817.16,23.01,810.04,27.17,174.9,2.441,06:13:00,18:13:00
1577973600,01/02/2020 14:00,18:13:00,801.06,24.38,808.908,22.32,333.1,2.458,06:13:00,18:13:00
1577977200,01/02/2020 15:00,18:13:00,716.23,24.98,808.173,19.15,119.7,3.12,06:13:00,18:13:00
1577980800,01/02/2020 16:00,18:13:00,571.66,25.05,807.894,17.95,89.5,2.901,06:13:00,18:13:00
1577984400,01/02/2020 17:00,18:13:00,352.98,25.15,807.841,20.46,107.1,3.391,06:13:00,18:13:00
1577988000,01/02/2020 18:00,18:13:00,121.96,21.52,808.372,32.88,78.8,6.76,06:13:00,18:13:00
1577991600,01/02/2020 19:00,18:13:00,4.2,17.56,809.175,45.48,70.2,6.777,06:13:00,18:13:00
1577995200,01/02/2020 20:00,18:13:00,0.38,14.75,810.729,56.56,55.6,4.771,06:13:00,18:13:00
1577998800,01/02/2020 21:00,18:13:00,0.68,12.64,811.715,69.1,64.2,6.202,06:13:00,18:13:00
1578002400,01/02/2020 22:00,18:13:00,1.07,11.63,812.264,74.22,68.9,5.371,06:13:00,18:13:00
1578006000,01/02/2020 23:00,18:13:00,1.18,11.03,812.856,77.48,81.9,2.763,06:13:00,18:13:00
1578009600,01/03/2020 00:00,18:13:00,1.17,10.67,813.297,79.57,71,2.315,06:13:00,18:13:00
1578013200,01/03/2020 01:00,18:13:00,1.14,10.39,813.195,80.85,74.2,2.913,06:13:00,18:13:00
1578016800,01/03/2020 02:00,18:13:00,1.19,10.21,812.963,79.98,61.5,2.813,06:13:00,18:13:00
1578020400,01/03/2020 03:00,18:13:00,1.2,10.06,812.493,78.58,68.7,2.328,06:13:00,18:13:00
1578024000,01/03/2020 04:00,18:13:00,0.67,10.04,812.263,77.5,76.4,2.529,06:13:00,18:13:00
1578027600,01/03/2020 05:00,18:13:00,0.27,9.93,812.219,76.33,74.8,2.999,06:13:00,18:13:00
1578031200,01/03/2020 06:00,18:13:00,0.9,9.54,812.434,76.81,76.3,2.801,06:13:00,18:13:00
1578034800,01/03/2020 07:00,18:13:00,1.27,9.29,812.847,75.87,80.6,3.424,06:13:00,18:13:00
1578038400,01/03/2020 08:00,18:13:00,18.37,9.05,813.42,75.89,90.1,3.276,06:13:00,18:13:00
1578042000,01/03/2020 09:00,18:13:00,145.44,9.76,814.01,73.19,77.7,4.442,06:13:00,18:13:00
1578045600,01/03/2020 10:00,18:13:00,245.45,10.48,814.726,70.51,64.2,4.176,06:13:00,18:13:00
1578049200,01/03/2020 11:00,18:13:00,419.66,11.49,814.89,66.49,57.3,3.653,06:13:00,18:13:00
1578052800,01/03/2020 12:00,18:13:00,760.68,13.56,814.478,59.32,44.5,2.749,06:13:00,18:13:00
