DATA,Temperature,Humidity,Speed,Speed_Max,WindDirection(Degrees),Rain_Tot,Pressure,Radiation,Visibility_Avg,TimeSunRise,TimeSunSet
01/01/2020 00:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 01:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 02:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 03:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 04:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 05:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 06:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 07:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 08:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 09:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 10:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 11:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 12:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 13:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 14:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 15:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 16:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 17:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 18:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 19:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 20:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 21:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 22:00,null,null,null,null,null,null,null,null,null,,
01/01/2020 23:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 00:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 01:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 02:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 03:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 04:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 05:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 06:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 07:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 08:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 09:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 10:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 11:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 12:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 13:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 14:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 15:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 16:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 17:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 18:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 19:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 20:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 21:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 22:00,null,null,null,null,null,null,null,null,null,,
02/01/2020 23:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 00:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 01:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 02:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 03:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 04:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 05:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 06:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 07:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 08:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 09:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 10:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 11:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 12:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 13:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 14:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 15:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 16:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 17:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 18:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 19:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 20:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 21:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 22:00,null,null,null,null,null,null,null,null,null,,
03/01/2020 23:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 00:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 01:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 02:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 03:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 04:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 05:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 06:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 07:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 08:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 09:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 10:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 11:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 12:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 13:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 14:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 15:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 16:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 17:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 18:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 19:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 20:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 21:00,null,null,null,null,null,null,null,null,null,,
04/01/2020 22:00,null,null,null,null,null,null,null,null,null,,
